Song,Film/Album,Artists
Had Se Zyada Aati Hai,Chehraa,"Kumar Sanu, Alka Yagnik"
Sach Much Mein To,Chehraa,Kumar Sanu
Tere Badan Mein,Chehraa,Kumar Sanu
Allah Jane,Chhota Sa Ghar,Kumar Sanu
Sorry Sorry Galati Ho Gayi,Chhota Sa Ghar,Kumar Sanu
Tu Jhuth Bolta Hai,Chhota Sa Ghar,"Kumar Sanu, Sadhana Sargam"
Ek Naya Aasman,Chhote Sarkar,"Kumar Sanu, Alka Yagnik"
Kha Kasam Kha,Chhoti Bahoo,"Kumar Sanu, Alka Yagnik, Sapna Mukherjee"
Meri Baat Ko Hansi,Chhoti Bahoo,Kumar Sanu
O Laila Hum Tum Pe,Chhoti Bahoo,Kumar Sanu
Aisa Na Ho Aarman Jag Jaye,Chhupa Rustam,Kumar Sanu
Pyar mein Dil To Sab Dete Hai,Chhupa Rustam,Kumar Sanu
Yeh Chand Koi Deewana Hai,Chhupa Rustam,"Kumar Sanu, Alka Yagnik"
Ghar Ka Chirag,Chirag,"Kumar Sanu, Udit Narayan"
O Mehbooba Dekho,Chirag,"Kumar Sanu, Alka Yagnik"
Tere Bin Kahin Jiyara Lage,Chor Aur Chaand,"Kumar Sanu, Anuradha Paudwal"
Kahna Hai Aaj Tujhse,Chori Chori,"Kumar Sanu, Alka Yagnik"
Aa Jaana Aa Jaana,Coolie No. 1,Kumar Sanu
Coolie No. 1,Coolie No. 1,"Kumar Sanu, Alka Yagnik, Sadhana Sargam, Poornima"
Jeth Ki Dopahri Mein,Coolie No. 1,Kumar Sanu
Kya Majnu Kya Ranjha,Coolie No. 1,Kumar Sanu
Mai To Raste Se Jaa Raha Tha,Coolie No. 1,Kumar Sanu
Mirchi Lagi Toh,Coolie No. 1,"Kumar Sanu, Alka Yagnik"
Janu Janu Janu,Criminal,Kumar Sanu
Mujhko Chhupa Le,Criminal,Kumar Sanu
Tu Mile Dil Khile,Criminal,"Kumar Sanu, Alka Yagnik, Chitra, Alisha Chinai"
Tu Mile Dil Khile (Male),Criminal,Kumar Sanu
Mujhe Yaara Tere Pyar Ne,Daadagiri,"Kumar Sanu, Kavita Krishnamurthy"
Chehra Tera Chehra,Daag The Fire,Kumar Sanu
Dil Deewaana Na Jaane,Daag The Fire,"Kumar Sanu, Anuradha Paudwal"
Kaun Hai Jo Mere,Daanveer,"Kumar Sanu, Alka Yagnik"
Rimjhim Rimjhim,Daanveer,Kumar Sanu
Deewane Hain Deewano Se,Daava,Kumar Sanu
Dil Mein Hai Tu,Daava,"Kumar Sanu, Poornima, Kavita Krishnamurthy, Abhijeet, Vijayeta Pandit"
Humse Hai Yaaro,Daava,Kumar Sanu
One For All,Daava,Kumar Sanu
Ru Tu Tu Tu,Daava,Kumar Sanu
Tujhe Dekhte Hi Ye Dil Kho Gaya Hai,Dahek,"Kumar Sanu, Alka Yagnik"
Chori Chori Maine Bhi To,Dalaal,"Kumar Sanu, Kavita Krishnamurthy"
Gutur Gutur,Dalaal,"Kumar Sanu, Bappi Lahiri, Alka Yagnik, Ila Arun"
Mere Ramji Mere Bhagwanji,Dalaal,Kumar Sanu
Na Unees Se Kam,Dalaal,Kumar Sanu
Thahre Huye Paani Mein,Dalaal,Kumar Sanu
Bin Sajan Jhoola Jhoolu,Damini,"Kumar Sanu, Sadhana Sargam"
Gawah Hain Chand Taare,Damini,"Kumar Sanu, Alka Yagnik"
Jab Se Tumko Dekha Hai Sanam,Damini,"Kumar Sanu, Sadhana Sargam"
Sacha Aashiq Hai To,Damini,"Kumar Sanu, Alka Yagnik"
Memsab Dil Mera Dhadke,Dand Nayak,"Kumar Sanu, Alka Yagnik"
Tera Bhi Ye Haal Huya,Dand Nayak,Kumar Sanu
Aisi Mili Nigahen,Daraar,"Kumar Sanu, Alka Yagnik"
Tera Chand Chehra,Daraar,Kumar Sanu
Tuhe Meri Manzil,Daraar,Kumar Sanu
Jab Dil Machhal Jata Hai,Darr Ke Aage Jeet Hai,Kumar Sanu
Shokh Ishare,Darr Ke Aage Jeet Hai,"Kumar Sanu, Kavita Krishnamurthy"
Koi Use Itna Bata De,Darwaza,"Kumar Sanu, Sangeet Haldipur"
Lakhan Ki Chori,Darwaza,Kumar Sanu
Pal Beet Gaya,Dastak,Kumar Sanu
Sheeshe Se,Dastak,"Kumar Sanu, Alka Yagnik"
O Mere Dilbar,Dedh Lakh Ka Dulha,Kumar Sanu
Payaliya,Deewana,"Kumar Sanu, Alka Yagnik"
